City,YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,WS10M
Bengaluru,2018,1,1,5.6362,19.98,73.07,1.48
Bengaluru,2018,1,2,5.4194,20.0,74.26,2.03
Bengaluru,2018,1,3,4.6123,20.18,73.81,2.1
Bengaluru,2018,1,4,4.639,19.48,75.11,2.93
Bengaluru,2018,1,5,5.1734,18.11,71.16,2.93
Bengaluru,2018,1,6,5.0076,17.38,68.3,2.45
Bengaluru,2018,1,7,4.8437,17.64,64.28,2.53
Bengaluru,2018,1,8,5.5334,17.29,69.5,3.4
Bengaluru,2018,1,9,5.0246,19.01,75.96,3.71
Bengaluru,2018,1,10,4.3277,20.94,79.14,4.3
Bengaluru,2018,1,11,4.5374,22.02,78.5,3.45
Bengaluru,2018,1,12,4.0418,21.99,72.87,3.51
Bengaluru,2018,1,13,5.6566,20.57,71.2,3.13
Bengaluru,2018,1,14,6.0763,20.2,69.15,3.48
Bengaluru,2018,1,15,5.9086,21.11,68.7,3.62
Bengaluru,2018,1,16,4.5658,21.05,70.8,2.55
Bengaluru,2018,1,17,4.8458,20.06,67.42,3.08
Bengaluru,2018,1,18,6.1296,18.84,65.43,3.61
Bengaluru,2018,1,19,5.9789,18.35,66.76,3.34
Bengaluru,2018,1,20,6.0948,18.61,65.27,2.62
Bengaluru,2018,1,21,6.0214,18.84,64.87,3.21
Bengaluru,2018,1,22,5.9782,19.52,64.24,2.38
Bengaluru,2018,1,23,5.6095,20.62,69.62,2.05
Bengaluru,2018,1,24,4.5401,21.1,67.84,2.32
Bengaluru,2018,1,25,5.1343,20.44,57.04,2.79
Bengaluru,2018,1,26,5.6323,19.99,61.9,2.67
Bengaluru,2018,1,27,5.2954,20.24,66.14,2.36
Bengaluru,2018,1,28,5.4864,20.22,61.98,2.93
Bengaluru,2018,1,29,6.0732,20.11,62.19,3.72
Bengaluru,2018,1,30,6.1774,19.96,61.9,3.62
Bengaluru,2018,1,31,6.5335,19.81,57.64,3.44
Bengaluru,2018,2,1,6.7483,19.9,46.39,3.46
Bengaluru,2018,2,2,6.6199,20.0,47.66,3.22
Bengaluru,2018,2,3,6.7006,19.38,51.82,3.64
Bengaluru,2018,2,4,6.7567,18.78,55.39,3.28
Bengaluru,2018,2,5,6.6626,20.58,53.72,3.28
Bengaluru,2018,2,6,6.0965,22.64,62.7,2.77
Bengaluru,2018,2,7,4.0846,21.61,80.01,2.58
Bengaluru,2018,2,8,4.6454,22.2,62.74,1.57
Bengaluru,2018,2,9,5.2927,22.77,68.79,1.61
Bengaluru,2018,2,10,5.3482,22.02,67.04,2.71
Bengaluru,2018,2,11,6.0768,22.62,64.12,3.81
Bengaluru,2018,2,12,5.7538,22.73,62.15,3.53
Bengaluru,2018,2,13,5.783,21.96,63.46,3.35
Bengaluru,2018,2,14,6.3612,22.05,61.38,4.44
Bengaluru,2018,2,15,6.427,19.99,65.49,4.05
Bengaluru,2018,2,16,6.8153,21.28,55.86,3.47
Bengaluru,2018,2,17,6.6946,21.84,56.16,2.83
Bengaluru,2018,2,18,6.8345,22.13,53.24,3.23
Bengaluru,2018,2,19,6.9158,21.97,53.98,3.17
Bengaluru,2018,2,20,6.8352,22.39,56.38,3.64
Bengaluru,2018,2,21,6.9533,22.12,52.06,4.26
Bengaluru,2018,2,22,6.9578,22.62,47.27,3.64
Bengaluru,2018,2,23,7.1436,22.1,47.27,4.12
Bengaluru,2018,2,24,7.2881,21.67,48.04,3.79
Bengaluru,2018,2,25,7.3164,22.5,50.8,4.05
Bengaluru,2018,2,26,7.369,22.87,42.32,3.48
Bengaluru,2018,2,27,7.2482,23.05,40.36,4.48
Bengaluru,2018,2,28,7.1285,23.69,32.5,4.61
Bengaluru,2018,3,1,7.3807,23.37,38.11,4.07
Bengaluru,2018,3,2,7.4117,23.95,34.72,4.36
Bengaluru,2018,3,3,7.4664,24.29,29.88,3.49
Bengaluru,2018,3,4,7.4462,24.27,29.78,3.75
Bengaluru,2018,3,5,7.2516,24.46,28.28,3.95
Bengaluru,2018,3,6,7.5955,24.5,32.64,3.68
Bengaluru,2018,3,7,7.4323,24.63,36.14,4.11
Bengaluru,2018,3,8,7.2137,25.12,33.59,4.28
Bengaluru,2018,3,9,6.8894,25.48,36.34,4.17
Bengaluru,2018,3,10,6.2244,25.87,38.2,4.4
Bengaluru,2018,3,11,7.0039,25.74,39.51,5.07
Bengaluru,2018,3,12,6.8938,25.48,44.21,5.33
Bengaluru,2018,3,13,5.8973,25.5,55.99,4.96
Bengaluru,2018,3,14,5.4331,25.5,55.75,4.05
Bengaluru,2018,3,15,5.6172,25.47,56.87,1.82
