City,YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,WS10M
Chennai,2018,1,1,3.2542,24.21,83.78,4.55
Chennai,2018,1,2,4.9944,24.1,83.69,3.79
Chennai,2018,1,3,4.8264,24.23,82.22,3.8
Chennai,2018,1,4,4.8912,23.7,74.23,4.26
Chennai,2018,1,5,4.915,22.97,69.66,3.88
Chennai,2018,1,6,5.0542,22.71,65.99,3.1
Chennai,2018,1,7,5.0378,22.27,69.69,3.69
Chennai,2018,1,8,4.776,22.8,74.93,4.63
Chennai,2018,1,9,3.2335,23.88,81.28,5.36
Chennai,2018,1,10,2.4403,24.5,84.68,5.12
Chennai,2018,1,11,4.8065,24.95,83.02,3.68
Chennai,2018,1,12,4.9253,24.59,82.01,2.56
Chennai,2018,1,13,5.1833,24.31,82.88,2.25
Chennai,2018,1,14,4.9406,24,83.5,2.59
Chennai,2018,1,15,4.8382,24.33,80.19,2.75
Chennai,2018,1,16,4.6846,24.41,78.15,2.43
Chennai,2018,1,17,5.4146,23.87,73.04,2.98
Chennai,2018,1,18,5.4331,23.13,71.64,3.74
Chennai,2018,1,19,5.3335,22.77,72.69,3.76
Chennai,2018,1,20,5.1067,22.82,72.47,3.56
Chennai,2018,1,21,5.136,22.76,75.21,3.94
Chennai,2018,1,22,5.0962,23.03,74.54,3.56
Chennai,2018,1,23,5.2042,23.41,73.04,2.86
Chennai,2018,1,24,4.9968,23.77,74.58,3.04
Chennai,2018,1,25,4.7818,23.83,75.7,3.08
Chennai,2018,1,26,5.1766,24.11,72.19,2.91
Chennai,2018,1,27,4.9574,24.12,72.01,3.73
Chennai,2018,1,28,5.3981,23.58,75.03,4.54
Chennai,2018,1,29,5.4072,23.65,74.44,4.6
Chennai,2018,1,30,5.5356,23.47,72.62,4.34
Chennai,2018,1,31,5.5529,23.22,70.89,3.6
Chennai,2018,2,1,6.0936,23.25,66.16,2.64
Chennai,2018,2,2,6.0326,23.48,63.75,2.54
Chennai,2018,2,3,6.1406,23.35,66.89,3.02
Chennai,2018,2,4,6.222,23.2,68.26,3.44
Chennai,2018,2,5,5.6789,23.85,71.52,3.68
Chennai,2018,2,6,4.6123,24.93,77.81,3.56
Chennai,2018,2,7,5.2385,25.58,81.22,1.79
Chennai,2018,2,8,5.0988,25.97,75.96,1.98
Chennai,2018,2,9,5.6702,25.52,75.35,2.23
Chennai,2018,2,10,5.3537,25.19,77.63,2.09
Chennai,2018,2,11,5.5152,25.67,75.96,3.2
Chennai,2018,2,12,5.3268,25.34,75.02,3.53
Chennai,2018,2,13,4.727,24.81,77.09,3.73
Chennai,2018,2,14,5.5332,25.26,75.08,4.32
Chennai,2018,2,15,5.7288,25.43,77.69,4.69
Chennai,2018,2,16,5.862,25.4,72.56,3.36
Chennai,2018,2,17,5.8848,25.54,71.75,2.58
Chennai,2018,2,18,6.0938,25.1,70.05,2.59
Chennai,2018,2,19,6.1447,25,71.31,3.06
