City,YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,WS10M
Delhi,2018,1,1,2.7655,12.07,34.58,2.41
Delhi,2018,1,2,2.0239,10.98,38.48,2.58
Delhi,2018,1,3,2.2222,11.02,39.62,3.02
Delhi,2018,1,4,2.4686,12.51,33.59,2.09
Delhi,2018,1,5,2.4643,13.02,30.96,1.95
Delhi,2018,1,6,2.6338,11.71,40.49,3.15
Delhi,2018,1,7,3.4834,11.65,41.2,3.81
Delhi,2018,1,8,3.7154,11.97,38.28,3.07
Delhi,2018,1,9,3.2537,11.94,38.1,3.42
Delhi,2018,1,10,3.755,12.56,32.67,4.23
Delhi,2018,1,11,3.9818,13.25,29.87,4.14
Delhi,2018,1,12,3.4795,15.13,28.98,3.35
Delhi,2018,1,13,3.7097,14.88,32.37,2.88
Delhi,2018,1,14,4.0217,14.12,31.34,2.86
Delhi,2018,1,15,4.097,13.23,31.28,4.02
Delhi,2018,1,16,4.2168,14.54,24.56,3.18
Delhi,2018,1,17,3.3209,15.02,27.04,2.11
Delhi,2018,1,18,3.6612,16.6,26.77,2.53
Delhi,2018,1,19,3.7267,15.33,33.84,3.34
Delhi,2018,1,20,4.0394,13.98,26.3,3.8
Delhi,2018,1,21,4.2367,14.24,24.45,2.39
Delhi,2018,1,22,3.9038,15.6,21.64,1.7
Delhi,2018,1,23,1.1729,12.97,41.81,3.03
Delhi,2018,1,24,3.0173,12.18,70.48,2.63
Delhi,2018,1,25,3.241,12.37,60.18,3.76
Delhi,2018,1,26,3.21,12.95,42.25,2.98
Delhi,2018,1,27,3.3626,12.25,37.45,2.9
Delhi,2018,1,28,3.5227,13.32,31.78,3.03
Delhi,2018,1,29,4.0678,14.39,30.36,3.85
Delhi,2018,1,30,4.3776,17.75,26.93,5.02
Delhi,2018,1,31,3.7853,17.86,29.82,5.55
Delhi,2018,2,1,4.3138,18.92,32.69,3.6
Delhi,2018,2,2,4.2924,18.51,37.02,3.22
Delhi,2018,2,3,4.2715,17.51,28.47,2.85
Delhi,2018,2,4,4.7582,15.27,23.35,3.64
Delhi,2018,2,5,3.0254,15.94,15.58,2.81
Delhi,2018,2,6,2.5493,16.92,14.95,3.3
Delhi,2018,2,7,4.8312,15.37,15.84,4.15
Delhi,2018,2,8,4.3284,15.69,14.3,2.99
Delhi,2018,2,9,4.7599,15.44,17.23,3.28
Delhi,2018,2,10,4.3361,17.38,17.2,2.23
Delhi,2018,2,11,3.3662,19.17,19.29,3.58
Delhi,2018,2,12,2.1338,16.99,61.11,4.26
Delhi,2018,2,13,4.0435,16.7,61.56,2.48
Delhi,2018,2,14,4.9546,15.98,41.62,4.57
Delhi,2018,2,15,4.7318,17.39,44.8,4.62
