City,YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,WS10M
Hyderabad,2018,1,1,5.136,21.5,52.57,1.91
Hyderabad,2018,1,2,4.4431,19.99,56.52,2.17
Hyderabad,2018,1,3,4.307,19.99,53.93,2.11
Hyderabad,2018,1,4,4.5307,19.38,46.52,2.64
Hyderabad,2018,1,5,4.7618,19.87,43.59,1.96
Hyderabad,2018,1,6,4.7558,19.67,44.25,1.89
Hyderabad,2018,1,7,4.4544,19.9,45.26,1.8
Hyderabad,2018,1,8,4.5252,19.02,51.92,2.85
Hyderabad,2018,1,9,4.8281,18.88,51.37,2.76
Hyderabad,2018,1,10,5.0395,20.79,47.46,2.2
Hyderabad,2018,1,11,4.9392,22.1,42.53,2.07
Hyderabad,2018,1,12,4.9258,22.66,35.42,2.52
Hyderabad,2018,1,13,5.0834,23.73,34.49,2.57
Hyderabad,2018,1,14,4.6649,22.97,42.05,2.67
Hyderabad,2018,1,15,4.1124,23.44,46.47,2.45
Hyderabad,2018,1,16,5.0758,22.95,40.49,2.97
Hyderabad,2018,1,17,5.1187,22.43,34.4,2.56
Hyderabad,2018,1,18,5.341,22.02,33.36,2.88
Hyderabad,2018,1,19,5.5666,21.41,27.61,2.82
Hyderabad,2018,1,20,5.509,21.09,26.66,2.46
Hyderabad,2018,1,21,5.251,21.8,27.82,2.25
Hyderabad,2018,1,22,5.2145,20.79,44.02,2.51
Hyderabad,2018,1,23,4.8751,21.63,52.72,2.55
Hyderabad,2018,1,24,4.5406,21.98,37.94,3.02
Hyderabad,2018,1,25,5.0429,21.18,28.13,2.84
Hyderabad,2018,1,26,5.4778,20.92,15.62,2.53
Hyderabad,2018,1,27,5.1782,21.81,16.37,1.57
Hyderabad,2018,1,28,4.9663,21.42,23.21,2.5
Hyderabad,2018,1,29,5.4547,21.78,28.56,2.85
Hyderabad,2018,1,30,5.7583,21.54,22.46,3.46
Hyderabad,2018,1,31,6.1135,22.47,18.55,3.22
Hyderabad,2018,2,1,6.0857,23.5,15.75,2.8
Hyderabad,2018,2,2,6.066,24.09,16,1.7
Hyderabad,2018,2,3,6.1013,22.88,26.9,2.62
Hyderabad,2018,2,4,6.0554,22.57,41.12,3.09
Hyderabad,2018,2,5,5.6537,22.62,40.67,3.44
Hyderabad,2018,2,6,5.4931,23.83,36.51,2.53
Hyderabad,2018,2,7,3.1397,23.5,33.71,1.99
Hyderabad,2018,2,8,5.9537,25.93,25.91,1.16
Hyderabad,2018,2,9,4.6973,25.86,29.29,2.17
Hyderabad,2018,2,10,2.8735,25.09,37.02,1.77
Hyderabad,2018,2,11,4.585,24.72,54.47,4.86
Hyderabad,2018,2,12,4.9193,25.2,56.98,4.18
Hyderabad,2018,2,13,4.6634,24.34,54.98,3.59
Hyderabad,2018,2,14,5.6438,23.84,55.37,3.21
Hyderabad,2018,2,15,5.5471,23.92,45.5,3.17
Hyderabad,2018,2,16,5.909,23.48,28.28,3.56
Hyderabad,2018,2,17,6.6226,24.07,22.51,3.67
