City,YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,WS10M
Mumbai,2018,1,1,4.2614,21.26,60.72,2.83
Mumbai,2018,1,2,4.6178,21.03,58.78,2.83
Mumbai,2018,1,3,4.2458,21.48,61.22,3
Mumbai,2018,1,4,4.343,21.93,62.05,1.96
Mumbai,2018,1,5,4.2264,21.45,63,2.65
Mumbai,2018,1,6,4.5439,20.59,56.46,2.57
Mumbai,2018,1,7,4.6205,20.3,56.87,2.36
Mumbai,2018,1,8,4.1436,20.64,60.41,2.38
Mumbai,2018,1,9,3.9991,22.1,57.8,2.66
Mumbai,2018,1,10,3.9403,22.85,56.09,3.63
Mumbai,2018,1,11,4.1674,24.17,56.19,3.08
Mumbai,2018,1,12,3.7884,25.31,57.19,3.25
Mumbai,2018,1,13,3.7219,25.79,56.19,2.94
Mumbai,2018,1,14,3.5551,26.15,54.14,2.55
Mumbai,2018,1,15,4.0051,26.62,58.84,2.7
Mumbai,2018,1,16,4.4554,26.19,51.7,2.99
Mumbai,2018,1,17,5.1883,25.75,51.89,2.66
Mumbai,2018,1,18,5.2795,24.61,52.07,2.96
Mumbai,2018,1,19,5.1173,23.89,52.77,2.74
Mumbai,2018,1,20,5.1454,23.78,52.36,2.41
Mumbai,2018,1,21,5.0786,23.7,53.66,2.55
Mumbai,2018,1,22,4.8694,23.06,54.91,2.49
Mumbai,2018,1,23,4.9718,22.01,64.5,2.67
Mumbai,2018,1,24,5.4286,21.36,58.17,2.52
Mumbai,2018,1,25,5.3381,21.33,48.27,2.76
Mumbai,2018,1,26,5.388,21.81,41.48,2.87
Mumbai,2018,1,27,5.4691,22,44.69,2.81
Mumbai,2018,1,28,4.8984,22.29,53.82,2.59
Mumbai,2018,1,29,4.8252,23.37,50.27,2.63
Mumbai,2018,1,30,4.9603,23.97,41.93,3.51
Mumbai,2018,1,31,5.5975,24.4,39.62,3.38
Mumbai,2018,2,1,5.7158,24.35,41.02,2.63
Mumbai,2018,2,2,5.4377,24.1,46.41,2.69
Mumbai,2018,2,3,5.3424,24.38,45.85,2.57
Mumbai,2018,2,4,5.3688,24.72,44.34,2.54
Mumbai,2018,2,5,5.2116,25.1,47.08,2.54
Mumbai,2018,2,6,4.0656,23.88,50.74,2.57
Mumbai,2018,2,7,4.1453,25.06,49.61,2.17
Mumbai,2018,2,8,5.7389,23.84,62.39,2.06
Mumbai,2018,2,9,5.7593,23.75,57.71,2.29
Mumbai,2018,2,10,5.5315,24.02,50.25,2.25
Mumbai,2018,2,11,5.8061,23.02,62.68,2.71
Mumbai,2018,2,12,6.1538,22.77,63.96,2.32
Mumbai,2018,2,13,5.9981,22.95,54.29,2.64
Mumbai,2018,2,14,5.6513,25.56,47.56,3.93
Mumbai,2018,2,15,5.1758,27.16,48.75,4.36
Mumbai,2018,2,16,5.4679,26.85,44.18,3.27
Mumbai,2018,2,17,5.6945,26.18,38.42,3.05
Mumbai,2018,2,18,5.7197,26.33,34.26,3.08
Mumbai,2018,2,19,5.6616,27,34.24,2.67
Mumbai,2018,2,20,5.5445,26.99,40.6,2.78
Mumbai,2018,2,21,5.5421,27.25,37.19,2.89
Mumbai,2018,2,22,5.3028,27.74,37.27,2.97
Mumbai,2018,2,23,5.2255,28.11,38.59,2.61
Mumbai,2018,2,24,5.4211,28.63,36.71,2.91
Mumbai,2018,2,25,5.5824,29.3,35.27,3.02
Mumbai,2018,2,26,6.1078,29.32,34.73,2.8
Mumbai,2018,2,27,6.1795,29.93,33.11,3.02
Mumbai,2018,2,28,5.8982,29.88,34.21,3.15
Mumbai,2018,3,1,5.6062,29.51,38.47,1.86
Mumbai,2018,3,2,5.7562,29.34,39.06,2.43
Mumbai,2018,3,3,5.3914,29.31,34.19,2.41
