City,YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,WS10M
Visakhapatnam,2018,1,1,2.6642,21.05,79.17,7.72
Visakhapatnam,2018,1,2,4.2151,22.68,71.98,5.48
Visakhapatnam,2018,1,3,4.3037,23.18,65.64,3.75
Visakhapatnam,2018,1,4,4.2002,23,63.66,3.15
Visakhapatnam,2018,1,5,4.4542,22.51,64.12,3.87
Visakhapatnam,2018,1,6,4.5893,22.28,55.49,3.53
Visakhapatnam,2018,1,7,4.4201,22.49,58.13,3.59
Visakhapatnam,2018,1,8,4.3414,22.01,61.44,5.58
Visakhapatnam,2018,1,9,4.4825,21.79,64.9,5.54
Visakhapatnam,2018,1,10,4.6644,22.75,64.32,4.38
Visakhapatnam,2018,1,11,4.4597,23.4,65.57,3.03
Visakhapatnam,2018,1,12,4.4794,24.01,71.4,2.02
Visakhapatnam,2018,1,13,4.1933,24.07,76.64,2.21
Visakhapatnam,2018,1,14,4.356,23.88,64.97,3.15
Visakhapatnam,2018,1,15,4.212,24.3,63.96,2.59
Visakhapatnam,2018,1,16,4.8274,23.69,65.19,3.01
Visakhapatnam,2018,1,17,4.6493,23.27,65.65,2.4
Visakhapatnam,2018,1,18,4.981,23.27,61.01,2.54
Visakhapatnam,2018,1,19,4.9867,22.87,60.92,3.04
Visakhapatnam,2018,1,20,4.8461,22.63,60.81,3.24
Visakhapatnam,2018,1,21,5.1826,22.47,65.98,3.01
Visakhapatnam,2018,1,22,4.9524,22.24,71.01,2.98
Visakhapatnam,2018,1,23,4.8108,23.01,68.72,2.25
Visakhapatnam,2018,1,24,4.7858,23.98,66.74,1.78
Visakhapatnam,2018,1,25,4.2929,24.02,65.93,2.24
Visakhapatnam,2018,1,26,4.1923,23.75,76.46,2.92
Visakhapatnam,2018,1,27,4.6903,24.06,70.94,2.99
Visakhapatnam,2018,1,28,4.829,23.46,71.28,3.38
Visakhapatnam,2018,1,29,4.9908,23.3,68.5,3.41
Visakhapatnam,2018,1,30,5.3539,23.51,55.95,1.97
Visakhapatnam,2018,1,31,5.5718,24.28,53.64,2.55
Visakhapatnam,2018,2,1,5.8234,24.75,54.54,2.73
Visakhapatnam,2018,2,2,5.4761,24.45,55.32,2.52
Visakhapatnam,2018,2,3,5.7336,23.78,62.29,2.26
Visakhapatnam,2018,2,4,5.802,23.93,62.05,2.49
Visakhapatnam,2018,2,5,5.5795,24.33,61.19,2.41
Visakhapatnam,2018,2,6,5.6177,24.39,59.59,1.82
Visakhapatnam,2018,2,7,4.6548,24.71,59.74,2.65
Visakhapatnam,2018,2,8,3.9696,25.63,57.55,2.19
Visakhapatnam,2018,2,9,5.5421,25.52,60.59,2.84
Visakhapatnam,2018,2,10,4.9123,25.44,68.67,3
Visakhapatnam,2018,2,11,3.1867,25.48,71.13,2.49
Visakhapatnam,2018,2,12,4.6781,24.96,76.08,4.27
Visakhapatnam,2018,2,13,5.0458,24.25,65.08,4.61
Visakhapatnam,2018,2,14,5.929,24.45,62.39,4.74
Visakhapatnam,2018,2,15,5.5687,25.19,62.09,3.46
Visakhapatnam,2018,2,16,5.5337,24.99,68.65,2.83
Visakhapatnam,2018,2,17,5.4497,25,65.32,2.24
Visakhapatnam,2018,2,18,5.6335,24.73,70.89,2.76
Visakhapatnam,2018,2,19,5.1982,24.86,69.37,2.44
Visakhapatnam,2018,2,20,5.7756,25.06,66.27,2.18
Visakhapatnam,2018,2,21,5.7163,25.27,65.39,2.43
Visakhapatnam,2018,2,22,6.0864,25.57,67.91,3.31
Visakhapatnam,2018,2,23,6.0823,25.49,66.16,2.8
Visakhapatnam,2018,2,24,6.323,25.46,61.65,2.22
Visakhapatnam,2018,2,25,6.4394,26.19,51.63,1.88
Visakhapatnam,2018,2,26,6.0734,26.71,48.16,3.01
Visakhapatnam,2018,2,27,5.9179,26.83,56.21,3.47
Visakhapatnam,2018,2,28,5.8008,26.93,55.81,3.16
Visakhapatnam,2018,3,1,6.5465,27.04,58.93,2.94
Visakhapatnam,2018,3,2,6.3665,27.16,62.44,3.66
Visakhapatnam,2018,3,3,6.0317,27.75,62.52,4.97
Visakhapatnam,2018,3,4,5.7002,27.72,59.37,5.27
Visakhapatnam,2018,3,5,6.0907,27.69,60.64,4.62
Visakhapatnam,2018,3,6,5.6551,27.41,63.99,3.92
Visakhapatnam,2018,3,7,5.2354,27.5,63.73,3.21
Visakhapatnam,2018,3,8,5.1238,27.06,69.48,3.06
Visakhapatnam,2018,3,9,5.2745,27.24,67.53,3.22
Visakhapatnam,2018,3,10,5.5841,27.65,61.51,2.68
Visakhapatnam,2018,3,11,5.8514,27.51,62.01,2.69
Visakhapatnam,2018,3,12,5.3842,27.6,64.69,3.75
Visakhapatnam,2018,3,13,5.7684,28.45,61.36,4.72
Visakhapatnam,2018,3,14,5.8534,28.48,59.44,5.38
Visakhapatnam,2018,3,15,5.3909,28.38,66.31,5.38
Visakhapatnam,2018,3,16,4.3274,28.43,66.69,3.68
Visakhapatnam,2018,3,17,2.5387,27.59,64.89,2.82
Visakhapatnam,2018,3,18,6.4399,28.02,64.49,3.34
Visakhapatnam,2018,3,19,5.8529,28.26,61.6,3.15
Visakhapatnam,2018,3,20,5.4185,28.65,65.09,4.44
Visakhapatnam,2018,3,21,5.9616,29.09,65.73,5.5
Visakhapatnam,2018,3,22,5.7257,29.49,64.79,5.16
Visakhapatnam,2018,3,23,5.405,29.55,66.75,4.52
Visakhapatnam,2018,3,24,5.2574,28.46,76.9,3.28
Visakhapatnam,2018,3,25,5.543,28.22,74.07,3.78
